item_id	name	item_category	rank	price_gold	shop_enabled	shop_spawn_weight	stackable	max_stack	equip_slot	is_equippable	icon_path	short_desc	desc	tags	effect_type	effect_damage_multiplier	effect_sand_remove_interval_sec	effect_sand_remove_count	effect_tick_interval_sec	effect_radius_u	effect_attack_damage_flat	effect_attack_speed_percent	effect_attack_range_percent	effect_max_hp_flat	effect_defense_flat	effect_hp_regen_flat	effect_max_weight_flat	effect_mining_damage_flat	effect_mining_speed_percent	effect_mining_range_percent	effect_move_speed_percent	effect_move_speed_flat	effect_jump_power_percent	effect_jump_power_flat	effect_crit_chance_flat	effect_luck_flat	effect_interest_rate_percent	effect_battery_recovery_flat
combat_drone_d	하급 전투 드론	function_module	D	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/combat_drone_d.png	직선 미사일을 발사하는 보조 드론	전투영역을 배회하며 직선의 미사일을 발사한다. 피해량은 현재 공격력의 10%를 기준으로 계산한다.	drone|offense|support	combat_drone	0.1																						
combat_drone_c	중급 전투 드론	function_module	C	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/combat_drone_c.png	직선 미사일을 발사하는 보조 드론	전투영역을 배회하며 직선의 미사일을 발사한다. 피해량은 현재 공격력의 20%를 기준으로 계산한다.	drone|offense|support	combat_drone	0.2																						
combat_drone_b	상급 전투 드론	function_module	B	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/combat_drone_b.png	직선 미사일을 발사하는 보조 드론	전투영역을 배회하며 직선의 미사일을 발사한다. 피해량은 현재 공격력의 30%를 기준으로 계산한다.	drone|offense|support	combat_drone	0.3																						
combat_drone_a	군용 전투 드론	function_module	A	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/combat_drone_a.png	직선 미사일을 발사하는 보조 드론	전투영역을 배회하며 직선의 미사일을 발사한다. 피해량은 현재 공격력의 40%를 기준으로 계산한다.	drone|offense|support	combat_drone	0.4																						
combat_drone_s	완성형 전투 드론	function_module	S	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/combat_drone_s.png	직선 미사일을 발사하는 보조 드론	전투영역을 배회하며 직선의 미사일을 발사한다. 피해량은 현재 공격력의 50%를 기준으로 계산한다.	drone|offense|support	combat_drone	0.5																						
cleaner_bot_d	하급 청소로봇	function_module	D	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/cleaner_bot_d.png	모래를 천천히 제거하는 보조 로봇	모래 위를 배회하며 5초당 1개의 모래를 제거한다.	utility|sand|cleanup	sand_cleaner		5.0	1																				
cleaner_bot_c	중급 청소로봇	function_module	C	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/cleaner_bot_c.png	모래를 천천히 제거하는 보조 로봇	모래 위를 배회하며 5초당 2개의 모래를 제거한다.	utility|sand|cleanup	sand_cleaner		5.0	2																				
cleaner_bot_b	상급 청소로봇	function_module	B	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/cleaner_bot_b.png	모래를 천천히 제거하는 보조 로봇	모래 위를 배회하며 5초당 3개의 모래를 제거한다.	utility|sand|cleanup	sand_cleaner		5.0	3																				
cleaner_bot_a	최첨단 청소로봇	function_module	A	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/cleaner_bot_a.png	모래를 빠르게 제거하는 보조 로봇	모래 위를 배회하며 1초당 1개의 모래를 제거한다.	utility|sand|cleanup	sand_cleaner		1.0	1																				
cleaner_bot_s	인공지능 청소로봇	function_module	S	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/cleaner_bot_s.png	모래를 매우 빠르게 제거하는 보조 로봇	모래 위를 배회하며 1초당 2개의 모래를 제거한다.	utility|sand|cleanup	sand_cleaner		1.0	2																				
spark_field_d	스파크 필드	function_module	D	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/spark_field_d.png	주변 블록에 주기 피해를 주는 방전 필드	캐릭터 주위에 방전필드를 생성하여 닿는 블록에 0.5초마다 피해를 준다. 피해량은 현재 공격력의 10%를 기준으로 한다.	aura|electric|damage	aura_damage	0.1			0.5	1.0																		
spark_field_c	방전 필드	function_module	C	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/spark_field_c.png	주변 블록에 주기 피해를 주는 방전 필드	캐릭터 주위에 방전필드를 생성하여 닿는 블록에 0.5초마다 피해를 준다. 피해량은 현재 공격력의 20%를 기준으로 한다.	aura|electric|damage	aura_damage	0.2			0.5	1.0																		
spark_field_b	아크 필드	function_module	B	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/spark_field_b.png	주변 블록에 주기 피해를 주는 방전 필드	캐릭터 주위에 방전필드를 생성하여 닿는 블록에 0.5초마다 피해를 준다. 피해량은 현재 공격력의 30%를 기준으로 한다.	aura|electric|damage	aura_damage	0.3			0.5	1.0																		
spark_field_a	고압 필드	function_module	A	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/spark_field_a.png	주변 블록에 주기 피해를 주는 방전 필드	캐릭터 주위에 방전필드를 생성하여 닿는 블록에 0.5초마다 피해를 준다. 피해량은 현재 공격력의 40%를 기준으로 한다.	aura|electric|damage	aura_damage	0.4			0.5	1.0																		
spark_field_s	테슬라 필드	function_module	S	100	true	-1.0	false	1		false	res://assets/ui/items/function_modules/spark_field_s.png	주변 블록에 주기 피해를 주는 방전 필드	캐릭터 주위에 방전필드를 생성하여 닿는 블록에 0.5초마다 피해를 준다. 피해량은 현재 공격력의 50%를 기준으로 한다.	aura|electric|damage	aura_damage	0.5			0.5	1.0																		
